Major_code,Major,Major_category,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate,Grad_total,Grad_employed,Grad_full_time_year_round,Grad_unemployed,Nongrad_total,Nongrad_employed,Nongrad_full_time_year_round,Nongrad_unemployed
6200,GENERAL BUSINESS,Business,2148712,1580978,1304646,85626,0.051377532000000004,602964,457191,387928,19494,2056867,1510380,1264413,77999
6201,ACCOUNTING,Business,1779219,1335825,1095027,75379,0.053414672999999996,569677,451610,384280,19729,1708418,1282267,1065334,68954
6202,ACTUARIAL SCIENCE,Business,9763,7846,6880,466,0.056063523,2472,2020,1725,162,7998,6666,6040,266
6203,BUSINESS MANAGEMENT AND ADMINISTRATION,Business,3123510,2354398,1939384,147261,0.058865337000000004,813399,622357,527935,32089,2996892,2253649,1882507,136978
6204,OPERATIONS LOGISTICS AND E-COMMERCE,Business,57200,47341,41104,2141,0.043268259,15056,12659,10861,296,52043,43074,38454,1827
6205,BUSINESS ECONOMICS,Business,75547,57983,48471,3816,0.061748572,30210,22935,19467,1239,69826,53771,45965,3186
6206,MARKETING AND MARKETING RESEARCH,Business,1114624,890125,704912,51839,0.055032889,190996,151570,123045,8324,1029181,817906,662346,45519
6207,FINANCE,Business,816548,670681,561073,34166,0.048472931,301650,252242,221486,11635,745903,615192,528057,28844
6209,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business,187274,142879,116466,9241,0.060748094,72548,55106,47878,3813,178250,135403,112085,8719
6210,INTERNATIONAL BUSINESS,Business,86064,66453,51012,5106,0.071353708,30985,24519,20196,1424,74951,58763,46734,4137
6211,HOSPITALITY MANAGEMENT,Business,200854,163393,122499,8862,0.051446982999999995,24417,18368,14784,1465,179335,145597,113579,7409
6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business,156673,134478,118249,6186,0.043977137,41970,36227,32121,1459,150110,129179,115177,5690
6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business,102753,77471,61603,4308,0.052678561,22553,17691,14807,865,95860,72005,58441,3694
