Major_code,Major,Major_category,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate,Grad_total,Grad_employed,Grad_full_time_year_round,Grad_unemployed,Nongrad_total,Nongrad_employed,Nongrad_full_time_year_round,Nongrad_unemployed
2300,GENERAL EDUCATION,Education,1438867,843693,591863,38742,0.043903517,1128727,698049,507406,24083,1388324,805371,573139,35180
2301,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education,4037,3113,2468,0,0.0,54159,34142,26850,582,4003,3079,2434,0
2303,SCHOOL STUDENT COUNSELING,Education,2396,1492,1093,169,0.101745936,19841,11313,8130,613,2232,1328,980,169
2304,ELEMENTARY EDUCATION,Education,1446701,819393,501786,32685,0.038359164,1105607,668185,438791,13889,1379686,762114,476855,28714
2305,MATHEMATICS TEACHER EDUCATION,Education,68808,47203,29494,1610,0.032983017,80826,51750,34672,748,63346,42354,27419,1610
2306,PHYSICAL AND HEALTH EDUCATION TEACHING,Education,281661,193542,136343,9389,0.046266958,202105,131845,92639,3782,270939,185279,133212,8119
2307,EARLY CHILDHOOD EDUCATION,Education,157079,113460,71133,5890,0.049350649,82430,63027,43428,1760,141496,100158,64302,4956
2308,SCIENCE AND COMPUTER TEACHER EDUCATION,Education,56477,36224,24817,1596,0.042199894,69301,42043,28805,954,53851,34223,23656,1460
2309,SECONDARY TEACHER EDUCATION,Education,224262,129486,88917,5925,0.043755677,239928,128469,89415,2929,217166,123329,86002,5494
2310,SPECIAL NEEDS EDUCATION,Education,149689,108272,71615,5357,0.047144655,192495,144858,98736,3329,140128,100814,68067,4629
2311,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education,127022,78785,51632,3800,0.046013199000000005,119073,68997,47671,2263,118529,71644,49027,3206
2312,TEACHER EDUCATION: MULTIPLE LEVELS,Education,88067,58885,37892,2032,0.033356863,72079,46866,32536,896,82941,54460,35610,1804
2313,LANGUAGE AND DRAMA EDUCATION,Education,181445,111347,67651,5624,0.048080292999999996,199901,122260,80860,3921,169782,102263,63345,4956
2314,ART AND MUSIC EDUCATION,Education,231861,155159,94756,6629,0.040973373,183239,123145,80953,3600,218268,143673,90398,5955
2399,MISCELLANEOUS EDUCATION,Education,225553,126054,91322,5145,0.039215238,166626,86566,59620,3106,221750,122937,89949,4880
3501,LIBRARY SCIENCE,Education,16193,7091,4330,743,0.09484299199999999,28963,15651,10914,483,15850,6798,4292,743
